,DEG
Ccdc91,1
Pdcd6,1
Cd81,0
Vav3,1
Atp6v0c,0
Myt1,1
Myl6,0
Zrsr1,1
Aldh1l2,1
Phkb,2
Rpl23,0
Yod1,1
Ddx27,1
Ubqln2,1
Ndufb7,0
Cmss1,0
Smdt1,0
Tbc1d19,2
Pcyt1a,1
Slc38a2,0
Slc7a8,1
St8sia3os,1
Rae1,1
3110040N11Rik,1
Cse1l,1
Hip1r,1
Rnf112,0
Rpl23a,0
C2cd2l,1
Dhrs7,1
Fnbp1l,1
Hps4,0
Epc1,1
Uba1,1
Mospd1,1
Cryzl1,1
Slitrk4,0
Cpt1c,0
Bbx,2
Clp1,1
Slc39a7,1
Supt3,2
D330023K18Rik,1
B9d1,1
Sez6,1
Slc22a23,1
Tmem209,1
Chchd10,0
Xist,2
Lnpep,1
Chpf,0
Gm9962,1
Immp2l,2
Ankib1,1
Pnma2,1
Rpl36,1
Rpl28,0
Ttc17,2
Gaa,0
Stoml2,1
Stmn3,0
Ubc,0
Nxph1,1
Gm26633,1
Mcm3ap,1
Scrib,1
2900052L18Rik,1
Agbl4,2
Thy1,0
Apoe,1
Tmsb4x,0
Clstn3,0
Ggact,2
Cnot3,0
Atp5h,1
Slc9a9,2
3222401L13Rik,2
Mafg,0
Rps16,0
Them6,1
Rpl34,0
Ptpn3,1
Ctsb,0
Rpl17,0
Gnb2,0
Tdrd5,1
Ranbp6,1
Rps5,0
Atp1b1,0
Brd9,0
Kctd8,2
Ythdc1,1
Rps29,0
Gm11867,0
Kdm2b,1
Rps26,0
Slc9a5,1
Bckdk,1
Aacs,1
Sprtn,1
Hsp90ab1,0
Jak2,1
Tmtc2,2
Rce1,1
Pde1a,1
Rpl9,0
Evc2,1
Celf1,1
Bex2,0
Baz2b,2
Ptprs,0
Tshz3,2
Thsd4,2
Ndufa3,1
Lars2,0
Tpt1,0
Sec14l2,1
Mterf1a,1
Fam173a,0
Sbf1,0
Pik3r1,1
Rpl13,0
Rpl27a,0
Mkln1os,1
Gm17092,1
Pi4k2a,1
Hspa8,0
Tbc1d5,2
Nfya,1
Syt11,0
Snrnp70,0
Wrap53,1
Pcsk1n,0
Kcnq5,0
Nrg3os,2
Exoc6b,1
Agbl5,1
Eral1,1
Stk40,1
Cyb5b,1
Matk,0
Nop58,1
Tmem63b,0
Spg11,1
Cux2,1
Snd1,2
Zfp786,1
Cdh18,2
Nmnat3,1
Ndufs6,1
Snx25,1
Slc25a4,0
Rps3a1,0
Chrm3,0
Slc27a1,1
Psap,0
Sv2a,0
Rab3a,0
Ppp1r37,1
Mif,0
Zfp839,1
Ngly1,1
Fam189b,1
Ywhab,0
Crhbp,1
Acox1,1
Npy,0
Pgam1,0
Pdp1,1
Map1lc3a,0
Zbtb5,1
Phrf1,1
Rpl7a,0
Ndfip1,1
Map4k5,1
Rpl19,0
Wdtc1,1
Cntn6,0
4930445B16Rik,2
Prpf3,1
Efr3a,2
Orc3,1
Chchd2,0
Pdgfb,1
B230118H07Rik,1
Slc25a44,1
Dalrd3,0
Fth1,0
Gps1,1
Nrg1,0
Ndufa13,0
Slc32a1,0
Sel1l3,1
Acaa2,1
Rplp2,0
Maged1,0
Adam23,1
Zbtb38,1
Sgcz,2
Mapk14,1
Pld2,1
Sst,0
Cox6b1,0
Rpsa,0
AY036118,2
Atp5k,0
D7Ertd443e,1
Lrrc4,2
Polr3h,1
Tsix,2
Zfp804a,1
Commd7,1
H2afz,0
Calhm2,1
1700109K24Rik,1
Zfhx3,1
Rundc3a,0
Tom1l1,1
Rps21,0
Hsp90aa1,0
2810029C07Rik,1
Tmem59l,0
Lpgat1,1
Vegfa,1
Calm1,0
Nisch,0
Cox7a2,0
Cox5b,0
Rps2,0
Smyd3,2
Atp5g3,0
Meg3,0
Zcwpw2,1
Flot1,1
1700066M21Rik,1
Pacrg,2
