,acc,bal_acc,igr
0,0.44298245614035087,0.46482517407653007,0.01946513816604089
1,0.17719298245614035,0.3846402478626647,0.005972734752702547
2,0.17456140350877192,0.40271128664405326,0.006456226952886552
3,0.33596491228070174,0.4304357827721413,0.015514451016209463
4,0.49298245614035086,0.44576647289531013,0.026882376931349716
5,0.34210526315789475,0.4452071031987101,0.014719202111597704
6,0.3684210526315789,0.45537151083469657,0.017240476047102087
7,0.49912280701754386,0.4969212673176622,0.031669926437779654
8,0.4649122807017544,0.46922451521988967,0.025745862793638937
9,0.3973684210526316,0.46559676470829353,0.019183420259674268
